Subject,Topic,Difficulty,Question,Answer,Explanation,EdexcelSpecReference
Biology,Cells,foundation,What is the role of the cell membrane?,"The cell membrane controls what enters and leaves the cell. It is selectively permeable, allowing some substances through but not others.",The cell membrane (phospholipid bilayer) regulates transport. It is selectively permeable: small/non-polar molecules pass freely; larger or polar molecules need protein channels or active transport.,4BI1/B1
Biology,Cells,higher,"Explain why meiosis produces genetic variation, but mitosis does not.","Meiosis involves crossing over between homologous chromosomes (exchange of genetic material) and independent assortment (random separation) of chromosomes, producing four genetically different haploid cells. Mitosis simply copies the DNA, producing identical cells.",Meiosis creates variation through: (1) crossing over in prophase I — swapping DNA segments between homologous pairs; (2) independent assortment — random alignment of chromosome pairs.,4BI1/B1
Biology,Cells,higher,Explain how a nerve cell (neurone) is adapted to carry out its function.,A neurone has a long axon to carry electrical impulses over long distances; a myelin sheath for insulation and to speed up impulse transmission; dendrites to receive impulses from other cells.,"Adaptation to function: long axon (distance), myelin sheath (speed), dendrites (receiving signals). The cell body contains the nucleus to produce proteins needed for function.",4BI1/B1
Biology,Coordination,extended,"Evaluate the use of contraceptive pills containing oestrogen and progesterone, including mechanism and side effects.","Mechanism: high oestrogen and progesterone levels suppress FSH (negative feedback), preventing follicle development and ovulation; cervical mucus thickens blocking sperm. Advantages: highly effective (>99%), reduces period pain. Disadvantages: daily dosing, no STI protection, side effects (nausea, mood changes, increased blood clot risk). Not suitable for women with hypertension or blood clot history.",The combined pill suppresses ovulation via negative feedback on the pituitary gland. Students must know the hormonal mechanism and evaluate trade-offs in extended answers.,4BI1/B8
Biology,Coordination,extended,Evaluate the use of contraceptive pills containing oestrogen and progesterone. Include the mechanism of action and potential side effects.,"Mechanism: high levels of oestrogen and progesterone inhibit FSH production (negative feedback on pituitary), preventing follicle development and ovulation. The cervical mucus also thickens (barrier to sperm). Advantages: highly effective (>99% if taken correctly), reduces period pain and heavy bleeding, may protect against ovarian/uterine cancers. Disadvantages: must be taken daily, does not protect against STIs, side effects include nausea, mood changes, increased blood clot risk (especially combined pill), not suitable for all women (e.g. hypertension, history of blood clots).",The combined pill (oestrogen + progesterone) works mainly by suppressing ovulation. The progesterone-only pill thickens cervical mucus. Students should know the hormonal mechanism and be able to evaluate the trade-offs.,4BI1/B8
Biology,Coordination,foundation,Describe the sequence of events in a reflex arc when you touch a hot surface.,Receptor (in skin) detects stimulus (heat/pain) → sensory neurone carries impulse to spinal cord → relay neurone in spinal cord → motor neurone carries impulse to effector (muscle) → response (hand is pulled away). The brain becomes aware of pain after the reflex response.,"Reflex arcs bypass the brain for speed. Sequence: receptor → sensory neurone → relay neurone (spinal cord) → motor neurone → effector. The response is fast, automatic, and involuntary.",4BI1/B7
Biology,Coordination,foundation,State TWO differences between hormonal and nervous coordination.,"1. Nervous: fast (electrical impulse); hormonal: slow (via blood). 2. Nervous: short-lived, localised effect; hormonal: longer-lasting, widespread effect.","Nervous system: electrical signals, very fast (milliseconds), precise target. Hormonal system: chemical messengers in blood, slower, longer duration, can affect multiple target organs.",4BI1/B7
Biology,Coordination,higher,Explain how blood glucose concentration is regulated after eating a meal rich in carbohydrates.,After eating: blood glucose rises. Pancreas (beta cells in islets of Langerhans) detects high glucose and secretes insulin into blood. Insulin causes liver and muscle cells to take up glucose and convert it to glycogen (glycogenesis). Blood glucose returns to normal. This is negative feedback control.,"Key players: pancreas, insulin, glycogen, liver. Negative feedback: the response opposes the change. If glucose falls too low, glucagon (from alpha cells) promotes glycogen breakdown back to glucose (glycogenolysis).",4BI1/B7
Biology,Ecology,extended,Evaluate the impact of deforestation on the carbon cycle and on biodiversity.,"Carbon cycle: trees store large amounts of carbon as wood. When felled and burned: CO₂ released immediately. When decomposed: CO₂ released slowly. Fewer trees = less photosynthesis = less CO₂ absorbed. Net effect: increased atmospheric CO₂, contributing to enhanced greenhouse effect and climate change. Biodiversity: loss of habitat destroys entire ecosystems. Species dependent on forest habitat become extinct. Interdependencies mean loss of one species can trigger further losses. Reduced biodiversity also reduces ecosystem resilience and disrupts nutrient cycles.","Deforestation is a major driver of both climate change (carbon release) and biodiversity loss. Exam answers should evaluate both impacts with specific mechanisms, not just list effects.",4BI1/B10
Biology,Ecology,foundation,"Define ""biodiversity"" and explain why high biodiversity is important.","Biodiversity is the variety of different species in an ecosystem. High biodiversity is important because: ecosystems are more stable and resilient to disease/climate change; complex food webs absorb the loss of one species better; many species provide medicines, food, and materials; and there is an ethical responsibility to preserve species.",High biodiversity = greater ecosystem stability. Complex food webs absorb species loss better than simple food chains. Loss of keystone species can collapse an entire ecosystem.,4BI1/B10
Biology,Ecology,foundation,"Define the term ""ecosystem"".","An ecosystem is all the living organisms (community) in an area together with the non-living (abiotic) components of their environment, and the interactions between them.",Key distinctions: habitat = place where organism lives; population = all individuals of one species; community = all species in an area; ecosystem = community + abiotic environment.,4BI1/B10
Biology,Ecology,higher,"Describe the carbon cycle, including at least THREE processes that move carbon between the atmosphere and living organisms.",CO₂ removed from atmosphere: (1) photosynthesis — plants absorb CO₂ to make glucose. CO₂ returned: (2) respiration — organisms release CO₂ from glucose; (3) decomposition — bacteria/fungi break down dead matter releasing CO₂; (4) combustion — burning fossil fuels/wood releases CO₂. Fossil fuels are long-term carbon stores formed from dead organisms over millions of years.,"Photosynthesis removes CO₂; respiration/decomposition/combustion return it. Deforestation disrupts balance by reducing photosynthesis and releasing stored carbon. Burning fossil fuels adds ""new"" CO₂ locked away for millions of years.",4BI1/B10
Biology,Ecology,higher,Describe the role of nitrifying bacteria and denitrifying bacteria in the nitrogen cycle.,"Nitrifying bacteria: convert ammonium ions (NH₄⁺) to nitrite, then to nitrate (NO₃⁻) in the soil (nitrification). These nitrates are absorbed by plants. Denitrifying bacteria: convert nitrates back to nitrogen gas (N₂) in anaerobic soil conditions (denitrification), returning nitrogen to the atmosphere.","Nitrogen cycle key organisms: nitrogen-fixing bacteria (N₂ → NH₃, in root nodules of legumes), nitrifying bacteria (NH₄⁺ → NO₃⁻), denitrifying bacteria (NO₃⁻ → N₂), decomposers (dead matter → NH₄⁺).",4BI1/B10
Biology,Ecology,higher,Explain why only about 10% of energy is transferred from one trophic level to the next in a food chain.,"Most energy is lost between trophic levels due to: (1) heat released during respiration by organisms at each level; (2) energy used in movement, growth, reproduction; (3) materials not eaten (bones, roots); (4) materials eaten but not digested (passed out as faeces). Only the energy stored in biomass is available to the next trophic level.","10% efficiency rule: 90% of energy is lost per trophic level. This is why food chains rarely exceed 4-5 links, and why eating plants is more energy-efficient than eating animals.",4BI1/B10
Biology,Human Nutrition,extended,"A patient has their gall bladder removed. Explain how this would affect fat digestion and absorption, and suggest dietary advice for the patient.","Without the gall bladder, bile cannot be stored and released in concentrated bursts when fat is eaten. Bile will drip slowly into the duodenum. Large fat meals will not be emulsified efficiently, reducing lipase activity and fat absorption, causing discomfort and possible fat-soluble vitamin deficiency. Advice: eat small, low-fat meals frequently.",The gall bladder concentrates and stores bile for release in response to fatty food. Its removal means continuous dilute bile flow — adequate for small fat meals but insufficient for large ones.,4BI1/B3
Biology,Human Nutrition,foundation,"Name the enzyme that digests proteins, and state where it is produced.",Protease (e.g. pepsin in the stomach). Proteases are produced in the stomach and pancreas.,Proteases break peptide bonds between amino acids. Pepsin is produced by the stomach wall. Trypsin is produced by the pancreas. Both break proteins into amino acids.,4BI1/B3
Biology,Human Nutrition,foundation,State the deficiency disease caused by a lack of vitamin C and describe two symptoms.,"Scurvy. Symptoms include: bleeding gums, slow wound healing, joint pain, fatigue.","Vitamin C (ascorbic acid) is needed for collagen synthesis. Without it, connective tissue weakens, causing gum bleeding and poor wound healing. Common in sailors before citrus was recognised as a remedy.",4BI1/B3
Biology,Human Nutrition,foundation,State the role of bile in digestion. Where is bile produced and where is it stored?,"Bile emulsifies fats — it breaks large fat globules into smaller droplets, increasing the surface area for lipase enzymes to act on. Bile is produced in the liver and stored in the gall bladder.","Bile is an emulsifier, not an enzyme. It does not chemically digest fat but increases surface area for lipase. Key distinction: produced in liver, stored in gall bladder, released into duodenum.",4BI1/B3
Biology,Human Nutrition,higher,Explain how the small intestine is adapted for the absorption of digested food.,The small intestine has: (1) a very long length giving large total surface area; (2) villi — finger-like projections increasing surface area; (3) microvilli on each villus cell further increasing surface area; (4) rich blood supply in each villus to maintain concentration gradient; (5) thin epithelial cells allowing short diffusion distance.,Maximum absorption requires maximum surface area and minimum diffusion distance. Villi contain lacteal vessels (for fat absorption via lymph) and capillaries (for amino acids and sugars into blood).,4BI1/B3
Biology,Inheritance,extended,Haemophilia is an X-linked recessive disorder. A carrier female (X^H X^h) has children with a normal male (X^H Y). Draw a genetic cross and state the probability of a son having haemophilia.,"Cross: X^H X^h × X^H Y. Offspring: X^H X^H (normal female), X^H X^h (carrier female), X^H Y (normal male), X^h Y (haemophiliac male). Probability of a son having haemophilia = 1/2 (50%) of all sons, or 1/4 (25%) of all children.",X-linked recessive: females need two copies of X^h to be affected; males only need one (X^h Y). Carrier females have one copy but appear normal. Sons of a carrier female have 50% chance of being affected.,4BI1/B9
Biology,Inheritance,extended,Haemophilia is X-linked recessive. A carrier female (X^H X^h) has children with a normal male (X^H Y). State the probability of a son having haemophilia and justify using a genetic cross.,"Cross: X^H X^h × X^H Y. Offspring: X^H X^H (normal female), X^H X^h (carrier female), X^H Y (normal male), X^h Y (haemophiliac male). Probability = 1/2 (50%) of sons, or 1/4 (25%) of all children.",X-linked recessive: males (XY) need only one X^h copy to be affected; females need two. Carrier females appear normal but pass the allele to 50% of sons.,4BI1/B9
Biology,Inheritance,foundation,"A pea plant is homozygous dominant for seed colour (YY). Another is homozygous recessive (yy). Y = yellow, y = green. Predict the phenotype ratio of the F1 generation.","All yellow seeds (100% Yy — all heterozygous, yellow dominant)","Cross YY × yy: all F1 offspring are Yy. Since Y is dominant over y, all plants have yellow seeds. Genotype = Yy (heterozygous), phenotype = yellow.",4BI1/B9
Biology,Inheritance,foundation,What is a mutation? Give ONE example of a factor that can increase the mutation rate.,"A mutation is a random change in the base sequence of DNA. Factors that increase mutation rate include: ionising radiation (X-rays, UV light, gamma radiation) and certain chemicals (mutagens, e.g. those in cigarette smoke).","Mutations can be beneficial, harmful, or neutral. Most are neutral. They are the raw material for natural selection. Radiation causes mutations by damaging DNA or causing abnormal chromosome separation.",4BI1/B9
Biology,Inheritance,higher,"In a monohybrid cross between two heterozygous parents (Tt × Tt, where T = tall, t = short), predict the genotype and phenotype ratios of the offspring.",Genotype ratio: 1 TT : 2 Tt : 1 tt. Phenotype ratio: 3 tall : 1 short.,"Punnett square: TT, Tt, Tt, tt. Phenotype: TT = tall, Tt = tall (T is dominant), tt = short. Classic 3:1 phenotype ratio. This is the basis of Mendel's law of segregation.",4BI1/B9
Biology,Inheritance,higher,Cystic fibrosis is caused by a recessive allele (f). Two carriers (Ff × Ff) have children. What is the probability their next child will have cystic fibrosis?,1 in 4 (25%),"Punnett square for Ff × Ff: FF, Ff, Ff, ff. Only ff has cystic fibrosis. Probability = 1/4 = 25%. Each pregnancy is independent — the probability is always 1/4 regardless of previous children.",4BI1/B9
Biology,Plant Nutrition,extended,A student investigated the effect of light intensity on the rate of photosynthesis by counting oxygen bubbles produced by pondweed at different distances from a lamp. Identify TWO variables that must be controlled and explain why.,"Temperature: must be kept constant because temperature affects enzyme activity (RuBisCO and others); a rise in temperature could increase photosynthesis rate independent of light. CO₂ concentration: must be kept constant because CO₂ is a reactant; if it runs out, it becomes the limiting factor rather than light intensity.","In any rate-of-photosynthesis experiment: light intensity, CO₂ concentration, and temperature are all potential limiting factors and potential variables. Control all except the one being investigated. Light intensity ∝ 1/distance².",4BI1/B4
Biology,Plant Nutrition,foundation,Describe the structure of a leaf that makes it efficient for photosynthesis.,Large flat blade = large surface area to absorb light. Transparent upper epidermis allows light through. Palisade cells near the top contain many chloroplasts. Stomata (pores) allow CO₂ in and O₂ out. Air spaces in spongy mesophyll allow gas diffusion. Veins supply water via xylem.,"Each leaf feature links to a function: surface area (light capture), position of palisade cells (maximum light), stomata (gas exchange), thin structure (short diffusion distance), xylem (water supply).",4BI1/B4
Biology,Plant Nutrition,foundation,State THREE limiting factors that can reduce the rate of photosynthesis.,"Low light intensity, low carbon dioxide concentration, low temperature (in cold conditions).","A limiting factor is one that, when in short supply, prevents the rate of photosynthesis from increasing even if other conditions are ideal. Above ~40°C, enzymes may denature and rate falls.",4BI1/B4
Biology,Plant Nutrition,foundation,Write the word equation for photosynthesis.,Carbon dioxide + water → glucose + oxygen (in the presence of light and chlorophyll),Photosynthesis converts light energy into chemical energy stored in glucose. CO₂ + H₂O → C₆H₁₂O₆ + O₂. Chlorophyll absorbs light; the process occurs mainly in the palisade mesophyll cells.,4BI1/B4
Biology,Plant Nutrition,higher,A plant is kept in darkness for 48 hours then placed in light. Describe and explain what happens to the starch content of its leaves over the next 24 hours.,"During darkness: starch is already absent (broken down). In the first few hours of light: the plant begins photosynthesising, producing glucose which is converted to starch for storage. After 24 hours in light: starch levels are high, measurable with iodine test.","Plants de-starched in darkness (standard prep for photosynthesis experiments). Once returned to light, chlorophyll absorbs light energy to fix CO₂ into glucose, which is stored as starch in chloroplasts.",4BI1/B4
Biology,Plant Nutrition,higher,Explain the role of nitrates and magnesium ions in plant nutrition.,"Nitrates (NO₃⁻): absorbed by roots via active transport; used to make amino acids and proteins (essential for growth). Without nitrates: plants show stunted growth and yellow-green leaves. Magnesium (Mg²⁺): essential component of chlorophyll; without it, plants cannot make chlorophyll → leaves turn yellow (chlorosis).",Both are mineral ions absorbed from soil. Nitrates → nitrogen → amino acids → proteins. Magnesium → chlorophyll → photosynthesis. Deficiency symptoms are classic exam points.,4BI1/B4
Biology,Reproduction,foundation,Describe the changes that occur to the uterus lining during the menstrual cycle.,"Days 1–5: menstruation (uterus lining shed). Days 5–14: lining regrows/thickens under influence of oestrogen. Day 14: ovulation. Days 14–28: lining maintained under influence of progesterone. If no fertilisation: progesterone levels fall, lining breaks down and cycle restarts.","Key hormones: FSH (follicle development), LH (triggers ovulation), oestrogen (rebuilds lining), progesterone (maintains lining). The 28-day cycle is regulated by the pituitary gland and ovaries via negative feedback.",4BI1/B8
Biology,Reproduction,higher,Explain how hormones are used in in vitro fertilisation (IVF) treatment.,"The woman is given FSH to stimulate maturation of multiple follicles in the ovaries. LH is then given to trigger ovulation. Eggs are collected and fertilised with sperm in a laboratory. The resulting embryos are incubated, then one or two are implanted into the uterus. Progesterone may be given to help maintain the uterine lining.",IVF bypasses natural fertilisation. FSH = superovulation. The key steps: hormonal stimulation → egg collection → in vitro fertilisation → embryo culture → embryo transfer. Success rates vary by age.,4BI1/B8
Biology,Respiration,extended,A student exercised for 10 minutes. Explain the physiological responses that increase oxygen delivery to muscles during exercise.,Heart rate increases (more beats per minute = more blood pumped). Stroke volume increases (heart contracts more forcefully). Breathing rate and depth increase (more air in/out per minute). Blood vessels to muscles vasodilate (more blood flow to working muscles). Combined effect: more oxygen delivered per minute.,During exercise: adrenaline + nerve signals increase heart rate and stroke volume → increased cardiac output. Respiratory centre detects rising CO₂ → increases breathing. Vasodilation to muscles (and vasoconstriction to gut) redistributes blood.,4BI1/B6
Biology,Respiration,foundation,"What is meant by an ""oxygen debt"" after vigorous exercise?","During intense exercise, muscles respire anaerobically, producing lactic acid. After exercise stops, extra oxygen is needed to break down the accumulated lactic acid (convert it back to glucose or CO₂ and water in the liver). This extra oxygen requirement is the oxygen debt.",Oxygen debt = the extra oxygen needed after anaerobic exercise to oxidise lactic acid. Breathing and heart rate remain elevated after exercise to repay this debt. Lactic acid causes the burning sensation in muscles.,4BI1/B6
Biology,Respiration,foundation,Compare aerobic and anaerobic respiration in humans.,"Aerobic: uses oxygen, produces CO₂ and water, releases large amount of energy (38 ATP). Anaerobic: no oxygen needed, produces lactic acid in animals (or ethanol + CO₂ in yeast), releases small amount of energy (2 ATP).","Anaerobic respiration is less efficient — glucose is only partially broken down, producing lactic acid. Lactic acid causes muscle fatigue. Oxygen debt is repaid after exercise.",4BI1/B6
Biology,Respiration,foundation,Write the word equation for aerobic respiration.,Glucose + oxygen → carbon dioxide + water (+ energy),"Aerobic respiration releases energy from glucose using oxygen. The energy is used for active transport, movement, protein synthesis, maintaining body temperature. Balanced equation: C₆H₁₂O₆ + 6O₂ → 6CO₂ + 6H₂O.",4BI1/B6
Biology,Respiration,higher,Explain how the alveoli are adapted for efficient gas exchange.,"Large number of alveoli = very large total surface area. Thin one-cell-thick walls = short diffusion distance. Rich capillary network = maintains steep concentration gradient (CO₂ removed, O₂ replenished quickly). Moist lining = gases dissolve for diffusion.","Fick's law: rate of diffusion ∝ (surface area × concentration gradient) / diffusion distance. Alveoli maximise surface area and gradient, minimise distance.",4BI1/B6
Biology,Transport,foundation,Describe the role of xylem in plants.,"Xylem vessels carry water and dissolved mineral ions from the roots to the leaves and stem. They are made of dead cells with thick, lignified walls and are hollow to allow uninterrupted flow.",Xylem = water up (transpiration stream driven by evaporation from leaves). Dead cells with lignin walls. Compare with phloem = food (sugars) both up and down (translocation).,4BI1/B5
Biology,Transport,foundation,State the differences between arteries and veins.,Arteries: carry blood away from the heart; thick muscular walls; high pressure; no valves; small lumen. Veins: carry blood towards the heart; thin walls; low pressure; valves prevent backflow; large lumen.,Arteries have thick walls to withstand high pressure from heart pumping. Veins have valves to prevent backflow as pressure is low. Capillaries link the two — thin walls for exchange.,4BI1/B5
Biology,Transport,higher,"Explain how transpiration is affected by increasing wind speed and increasing humidity, and explain why.","Increased wind speed increases transpiration rate: wind removes water vapour from around the stomata, maintaining a steep concentration gradient for water vapour to diffuse out. Increased humidity decreases transpiration rate: more water vapour in the air reduces the concentration gradient between inside the leaf and outside, slowing diffusion.",Transpiration is driven by diffusion. The rate depends on the concentration gradient of water vapour between the leaf's air spaces and the external air. Anything steepening the gradient increases rate; anything reducing it decreases rate.,4BI1/B5
Biology,Transport,higher,Explain how the heart ensures a one-way flow of blood through the circulatory system.,"The heart has four chambers with valves between them: the atrioventricular (bicuspid and tricuspid) valves prevent backflow from ventricles to atria; the semilunar (aortic and pulmonary) valves prevent backflow from arteries to ventricles. The muscular ventricle walls contract to push blood out at high pressure, and valves ensure it moves in only one direction.",Valves are the key mechanism: they open when pressure is higher on the upstream side and close when pressure reverses. The left ventricle has the thickest wall (pumps to the body) vs. the right (pumps to lungs).,4BI1/B5
Mathematics,Algebra,extended,Expand and simplify: (x + 3)² − (x − 2)(x + 4),14 − 2x − x² + x² = 10x + 17... Let me recalculate: (x+3)² = x²+6x+9. (x−2)(x+4) = x²+2x−8. Difference: x²+6x+9 − (x²+2x−8) = 4x+17.,(x+3)² = x²+6x+9. (x−2)(x+4) = x²+4x−2x−8 = x²+2x−8. Subtract: x²+6x+9 − x²−2x+8 = 4x+17.,4MA1/A
Mathematics,Algebra,extended,Use the quadratic formula to solve: 2x² + 5x − 3 = 0. Give your answers to 2 decimal places.,x = 0.5 or x = −3,"Using x = [−b ± √(b²−4ac)] / 2a with a=2, b=5, c=−3: discriminant = 25+24=49. x = (−5 ± 7)/4. So x = 2/4 = 0.5 or x = −12/4 = −3.",4MA1/A
Mathematics,Algebra,foundation,"Find the nth term of the sequence: 5, 8, 11, 14, 17, ...",3n + 2,"The common difference is 3, so the nth term starts with 3n. When n=1, 3(1)=3 but we need 5, so add 2. Check: n=2 → 3(2)+2=8 ✓.",4MA1/A
Mathematics,Algebra,foundation,Expand and simplify: 3(2x + 4) − 2(x − 1),4x + 14,Expand: 6x + 12 − 2x + 2. Collect like terms: (6x − 2x) + (12 + 2) = 4x + 14.,4MA1/A
Mathematics,Algebra,foundation,Factorise fully: 6x² + 9x,3x(2x + 3),"The HCF of 6x² and 9x is 3x. Dividing: 6x²÷3x = 2x, 9x÷3x = 3. So: 3x(2x + 3).",4MA1/A
Mathematics,Algebra,foundation,Make r the subject of the formula: A = πr²,r = √(A/π),Divide both sides by π: A/π = r². Take the square root: r = √(A/π). (Accept positive root only as r is a length.),4MA1/A
Mathematics,Algebra,foundation,Solve: 5x − 3 = 17,x = 4,Add 3 to both sides: 5x = 20. Divide by 5: x = 4.,4MA1/A
Mathematics,Algebra,higher,"Solve the inequality: 3x − 7 > 2, and represent your answer on a number line.",x > 3,Add 7 to both sides: 3x > 9. Divide by 3: x > 3. On a number line: open circle at 3 with arrow pointing right.,4MA1/A
Mathematics,Algebra,higher,Solve the quadratic equation: x² − 5x + 6 = 0,x = 2 or x = 3,Factorise: (x − 2)(x − 3) = 0. Set each factor to zero: x − 2 = 0 → x = 2; x − 3 = 0 → x = 3.,4MA1/A
Mathematics,Algebra,higher,Solve the simultaneous equations: 2x + 3y = 12 and x − y = 1,"x = 3, y = 2",From equation 2: x = y + 1. Substitute into eq 1: 2(y+1) + 3y = 12 → 5y + 2 = 12 → y = 2. Then x = 3.,4MA1/A
Mathematics,Geometry,extended,"Vector AB = (3, −2) and vector BC = (−1, 5). Find |AC| to 2 decimal places.","|AC| = √(4² + 3²)... AC = AB + BC = (2, 3). |AC| = √(4+9) = √13 ≈ 3.61","AC = AB + BC = (3+(−1), −2+5) = (2, 3). |AC| = √(2² + 3²) = √(4+9) = √13 ≈ 3.61.",4MA1/G
Mathematics,Geometry,foundation,"The interior angles of a triangle are x°, (2x)° and 60°. Find the value of x.",x = 40,Angles in a triangle sum to 180°: x + 2x + 60 = 180 → 3x = 120 → x = 40.,4MA1/G
Mathematics,Geometry,foundation,A circle has a radius of 5 cm. Calculate its circumference. (Use π = 3.14),31.4 cm,Circumference = 2πr = 2 × 3.14 × 5 = 31.4 cm.,4MA1/G
Mathematics,Geometry,foundation,Calculate the sum of interior angles of a hexagon.,720°,Sum of interior angles = (n − 2) × 180° = (6 − 2) × 180° = 4 × 180° = 720°.,4MA1/G
Mathematics,Geometry,foundation,The angle at the centre of a circle is 140°. Find the angle at the circumference subtended by the same arc.,70°,The angle at the centre is twice the angle at the circumference (both subtended by the same arc). So 140° ÷ 2 = 70°.,4MA1/G
Mathematics,Geometry,higher,"Triangle ABC has vertices A(1,2), B(4,2) and C(4,6). Describe fully the single transformation that maps triangle ABC to triangle A′B′C′ with vertices A′(−1,−2), B′(−4,−2), C′(−4,−6).","Rotation of 180° about the origin (0,0)","Each point (x,y) maps to (−x,−y). This is a rotation of 180° about the origin. The centre is (0,0).",4MA1/G
Mathematics,Geometry,higher,"Two parallel lines are cut by a transversal. One co-interior angle is 73°. Find the other co-interior angle, explaining your reasoning.",107°,Co-interior (same-side interior) angles are supplementary: they add up to 180°. So the other angle = 180° − 73° = 107°.,4MA1/G
Mathematics,Mensuration,extended,A cone has a slant height of 13 cm and a base radius of 5 cm. Calculate the total surface area of the cone.,282.7 cm² (or 90π cm²),Total surface area = πrl + πr² = π(5)(13) + π(5²) = 65π + 25π = 90π ≈ 282.7 cm².,4MA1/M
Mathematics,Mensuration,foundation,"A trapezium has parallel sides of length 6 cm and 10 cm, and a perpendicular height of 4 cm. Calculate its area.",32 cm²,Area of trapezium = ½ × (sum of parallel sides) × height = ½ × (6+10) × 4 = ½ × 16 × 4 = 32 cm².,4MA1/M
Mathematics,Mensuration,foundation,A rectangle has length 12 cm and width 7 cm. Calculate its area.,84 cm²,Area of rectangle = length × width = 12 × 7 = 84 cm².,4MA1/M
Mathematics,Mensuration,foundation,Calculate the volume of a cuboid with dimensions 5 cm × 4 cm × 3 cm.,60 cm³,Volume = length × width × height = 5 × 4 × 3 = 60 cm³.,4MA1/M
Mathematics,Mensuration,higher,A cylinder has radius 3 cm and height 10 cm. Calculate its total surface area to 1 decimal place.,245.0 cm²,Total surface area = 2πr² + 2πrh = 2π(9) + 2π(3)(10) = 18π + 60π = 78π ≈ 245.0 cm².,4MA1/M
Mathematics,Mensuration,higher,A sector of a circle has radius 8 cm and an angle of 135°. Calculate the arc length to 2 decimal places. (Use π = 3.14159...),18.85 cm,Arc length = (θ/360) × 2πr = (135/360) × 2π × 8 = 0.375 × 50.265 = 18.85 cm.,4MA1/M
Mathematics,Number,foundation,A price increases from £80 to £96. Calculate the percentage increase.,20%,Percentage increase = (increase / original) × 100 = (16 / 80) × 100 = 20%.,4MA1/N
Mathematics,Number,foundation,Calculate 15% of 240.,36,"10% of 240 = 24, 5% = 12. Total: 24 + 12 = 36. Alternatively, 0.15 × 240 = 36.",4MA1/N
