"Subject","Topic","Difficulty","Question","Answer","Explanation","SpecReference"
"Mathematics","Algebra - Simplifying","Easy","Simplify 4x + 3y - 2x + y.","2x + 4y","Collect like terms: 4x - 2x = 2x and 3y + y = 4y.","0580/2.1"
"Mathematics","Algebra - Linear Equations","Easy","Solve 3x + 7 = 22.","x = 5","Subtract 7: 3x = 15. Divide by 3: x = 5.","0580/2.2"
"Mathematics","Algebra - Factorising","Easy","Factorise 6x + 9.","3(2x + 3)","HCF of 6 and 9 is 3. Factor out 3: 3(2x + 3).","0580/2.1"
"Mathematics","Algebra - Substitution","Easy","Find p = 3q - q^2 when q = 4.","-4","p = 3(4) - 4^2 = 12 - 16 = -4.","0580/2.1"
"Mathematics","Algebra - Linear Equations","Medium","Solve 5x - 3 = 2x + 12.","x = 5","Rearrange: 3x = 15. x = 5.","0580/2.2"
"Mathematics","Algebra - Simultaneous Equations","Medium","Solve: 2x + y = 8 and x - y = 1.","x = 3, y = 2","Add equations: 3x = 9 so x = 3. Then y = 8 - 6 = 2.","0580/2.3"
"Mathematics","Algebra - Quadratic","Medium","Solve x^2 + 5x + 6 = 0 by factorisation.","x = -2 or x = -3","(x + 2)(x + 3) = 0. So x = -2 or x = -3.","0580/2.5"
"Mathematics","Algebra - Expanding","Medium","Expand and simplify (x + 3)(x - 4).","x^2 - x - 12","x(x-4) + 3(x-4) = x^2 - 4x + 3x - 12 = x^2 - x - 12.","0580/2.1"
"Mathematics","Algebra - Inequalities","Medium","Solve the inequality 3x - 5 > 7.","x > 4","Add 5: 3x > 12. Divide by 3: x > 4.","0580/2.7"
"Mathematics","Algebra - Sequences","Medium","Find the nth term of the sequence 3, 7, 11, 15, ...","4n - 1","Common difference = 4; nth term = 4n - 1 (n=1 gives 3; n=2 gives 7).","0580/2.9"
"Mathematics","Algebra - Rearranging","Medium","Make x the subject of y = 3x + 2.","x = (y - 2) / 3","Subtract 2: y - 2 = 3x. Divide by 3: x = (y - 2) / 3.","0580/2.1"
"Mathematics","Algebra - Algebraic Fractions","Medium","Simplify (x^2 - 4) / (x + 2) for x ≠ -2.","x - 2","Factorise: (x+2)(x-2). Cancel (x+2): result is x - 2.","0580/2.1"
"Mathematics","Algebra - Quadratic Formula","Hard","Solve x^2 - 3x - 5 = 0. Give answers to 2 d.p.","x = 4.19 or x = -1.19","x = (3 ± sqrt(29)) / 2. sqrt(29) ≈ 5.385. x ≈ 4.19 or x ≈ -1.19.","0580/2.5"
"Mathematics","Algebra - Simultaneous Non-linear","Hard","Solve y = x^2 and y = 2x + 3 simultaneously.","x=3, y=9 or x=-1, y=1","Substitute: x^2 = 2x + 3. x^2 - 2x - 3 = 0. (x-3)(x+1) = 0.","0580/2.3"
"Mathematics","Algebra - Completing the Square","Hard","Solve x^2 + 6x + 2 = 0 by completing the square.","x = -3 + sqrt(7) or x = -3 - sqrt(7)","(x+3)^2 - 9 + 2 = 0. (x+3)^2 = 7. x = -3 ± sqrt(7).","0580/2.5"
"Mathematics","Algebra - Sequences","Hard","Find the 8th term of the geometric sequence 2, 6, 18, 54, ...","4374","r = 3. nth term = 2 x 3^(n-1). 8th term = 2 x 3^7 = 2 x 2187 = 4374.","0580/2.9"
"Mathematics","Algebra - Inequalities","Hard","Solve x^2 - x - 6 ≤ 0.","−2 ≤ x ≤ 3","(x - 3)(x + 2) ≤ 0. Parabola is ≤ 0 between roots: -2 ≤ x ≤ 3.","0580/2.7"
"Mathematics","Geometry - Angles","Easy","A triangle has angles 65° and 48°. Find the third angle.","67°","Angles in a triangle sum to 180°. Third = 180 - 65 - 48 = 67°.","0580/4.1"
"Mathematics","Geometry - Polygons","Easy","Calculate the interior angle of a regular hexagon.","120°","Sum of interior angles = (6-2) x 180 = 720°. Each = 720 / 6 = 120°.","0580/4.3"
"Mathematics","Geometry - Circles","Easy","Calculate the circumference of a circle with diameter 10 cm. Give answer to 1 d.p.","31.4 cm","Circumference = π x d = π x 10 ≈ 31.4 cm.","0580/4.6"
"Mathematics","Geometry - Polygons","Medium","Each exterior angle of a regular polygon is 24°. How many sides does it have?","15","Number of sides = 360 / 24 = 15.","0580/4.3"
"Mathematics","Geometry - Angles","Medium","Two parallel lines are cut by a transversal. One co-interior angle is 112°. Find the other.","68°","Co-interior angles sum to 180°. 180 - 112 = 68°.","0580/4.1"
"Mathematics","Geometry - Transformations","Medium","Reflect (3, 2) in the y-axis. Give coordinates of the image.","(-3, 2)","Reflecting in y-axis negates the x-coordinate: (3, 2) → (-3, 2).","0580/4.5"
"Mathematics","Geometry - Transformations","Medium","Translate (1, 4) by the vector (3, -2). Give the new coordinates.","(4, 2)","Add vector components: (1+3, 4+(-2)) = (4, 2).","0580/4.5"
"Mathematics","Geometry - Vectors","Medium","If a = (3, 1) and b = (-1, 4) find 2a - b.","(7, -2)","2a = (6, 2). 2a - b = (6-(-1), 2-4) = (7, -2).","0580/6.1"
"Mathematics","Geometry - Circle Theorems","Medium","The angle at the centre is 140°. Find the angle at the circumference subtended by the same arc.","70°","Angle at centre = 2 x angle at circumference. Angle = 140 / 2 = 70°.","0580/4.6"
"Mathematics","Geometry - Circle Theorems","Hard","Tangent TP from P to circle centre O. OT = 5 cm and TP = 12 cm. Find OP.","13 cm","Radius is perpendicular to tangent at T. OP^2 = 5^2 + 12^2 = 169. OP = 13 cm.","0580/4.6"
"Mathematics","Geometry - Transformations","Hard","Find the image of (4, 1) after a 90° anticlockwise rotation about the origin.","(-1, 4)","For 90° anticlockwise: (x, y) → (-y, x). So (4, 1) → (-1, 4).","0580/4.5"
"Mathematics","Geometry - Vectors","Hard","OA = a, OB = b, M is midpoint of AB. Show OM = (a + b) / 2.","OM = (a + b) / 2","AM = (1/2)(b - a). OM = OA + AM = a + (b - a)/2 = (a + b)/2.","0580/6.1"
"Mathematics","Mensuration - Area","Easy","Find the area of a triangle with base 8 cm and height 5 cm.","20 cm^2","Area = (1/2) x base x height = (1/2) x 8 x 5 = 20 cm^2.","0580/5.1"
"Mathematics","Mensuration - Volume","Easy","Find the volume of a cuboid with dimensions 4 cm x 3 cm x 5 cm.","60 cm^3","V = l x w x h = 4 x 3 x 5 = 60 cm^3.","0580/5.2"
"Mathematics","Mensuration - Volume","Medium","Find the volume of a cylinder with radius 3 cm and height 10 cm. Give answer to 1 d.p.","282.7 cm^3","V = π x r^2 x h = π x 9 x 10 = 90π ≈ 282.7 cm^3.","0580/5.2"
"Mathematics","Mensuration - Volume","Medium","Find the volume of a cone with radius 4 cm and height 9 cm. Give answer to 1 d.p.","150.8 cm^3","V = (1/3) x π x r^2 x h = (1/3) x π x 16 x 9 = 48π ≈ 150.8 cm^3.","0580/5.2"
"Mathematics","Mensuration - Arcs and Sectors","Medium","Find the arc length of a sector with radius 6 cm and angle 120°. Give answer to 1 d.p.","12.6 cm","Arc length = (120/360) x 2π x 6 = 4π ≈ 12.6 cm.","0580/5.3"
"Mathematics","Mensuration - Surface Area","Medium","Find the total surface area of a cylinder with radius 5 cm and height 12 cm. Give answer to 1 d.p.","534.1 cm^2","SA = 2πr^2 + 2πrh = 50π + 120π = 170π ≈ 534.1 cm^2.","0580/5.2"
"Mathematics","Mensuration - Surface Area","Hard","Find the surface area of a sphere with radius 7 cm. Give answer to nearest whole number.","616 cm^2","SA = 4πr^2 = 4 x π x 49 = 196π ≈ 615.75 ≈ 616 cm^2.","0580/5.2"
"Mathematics","Mensuration - Composite Shapes","Hard","A rectangle 8 cm x 5 cm has a semicircle of diameter 8 cm added on top. Find total area to 1 d.p.","65.1 cm^2","Rectangle = 40 cm^2. Semicircle = (1/2)π(4)^2 = 8π ≈ 25.1 cm^2. Total ≈ 65.1 cm^2.","0580/5.1"
"Mathematics","Trigonometry - SOHCAHTOA","Easy","In a right triangle opposite = 5 and hypotenuse = 13. Write sin(θ).","5/13","sin(θ) = opposite / hypotenuse = 5/13.","0580/T1"
"Mathematics","Trigonometry - SOHCAHTOA","Easy","Find angle θ where cos(θ) = 0.6. Give answer to 1 d.p.","53.1°","θ = cos^-1(0.6) ≈ 53.1°.","0580/T1"
"Mathematics","Trigonometry - SOHCAHTOA","Medium","In a right triangle adjacent = 8 cm and hypotenuse = 10 cm. Find the angle to 1 d.p.","36.9°","cos(θ) = 8/10 = 0.8. θ = cos^-1(0.8) ≈ 36.9°.","0580/T1"
"Mathematics","Trigonometry - Bearings","Medium","A ship travels 5 km north then 12 km east. Find its bearing from the start.","067°","tan(θ) = 12/5 = 2.4. θ = tan^-1(2.4) ≈ 67.4°. Bearing = 067°.","0580/T2"
"Mathematics","Trigonometry - Sine Rule","Medium","In a triangle a = 8 cm, angle A = 50°, angle B = 70°. Find side b to 2 d.p.","9.81 cm","b/sin B = a/sin A. b = 8 x sin(70°)/sin(50°) ≈ 9.81 cm.","0580/T3"
"Mathematics","Trigonometry - 3D","Medium","A cuboid is 6 cm x 4 cm x 3 cm. Find the space diagonal to 2 d.p.","7.81 cm","Diagonal = sqrt(6^2 + 4^2 + 3^2) = sqrt(61) ≈ 7.81 cm.","0580/T2"
"Mathematics","Trigonometry - Cosine Rule","Hard","In a triangle a = 7 cm, b = 9 cm, angle C = 120°. Find side c to 1 d.p.","13.9 cm","c^2 = 49 + 81 - 2(7)(9)cos(120°) = 130 + 63 = 193. c = sqrt(193) ≈ 13.9 cm.","0580/T3"
"Mathematics","Trigonometry - Area of Triangle","Hard","Find the area of a triangle with b = 10 cm, c = 8 cm and included angle A = 30°.","20 cm^2","Area = (1/2) x b x c x sin A = (1/2) x 10 x 8 x 0.5 = 20 cm^2.","0580/T3"
"Mathematics","Statistics - Averages","Easy","Find the mean of 3, 7, 9, 5, 6.","6","Sum = 30. Mean = 30/5 = 6.","0580/8.1"
"Mathematics","Statistics - Averages","Easy","Find the median of 2, 5, 7, 9, 12.","7","Data in order; middle value (3rd of 5) = 7.","0580/8.1"
"Mathematics","Statistics - Averages","Easy","Find the range of 4, 11, 3, 8, 15, 6.","12","Range = largest - smallest = 15 - 3 = 12.","0580/8.1"
"Mathematics","Statistics - Frequency Tables","Medium","Values 1, 2, 3, 4 have frequencies 3, 5, 4, 2. Find the mean.","2.36","Sum of fx = 3+10+12+8 = 33. Total f = 14. Mean = 33/14 ≈ 2.36.","0580/8.1"
"Mathematics","Statistics - Scatter Graphs","Medium","As temperature increases, ice cream sales increase. What type of correlation is this?","Positive correlation","Both variables increase together: positive correlation. Line of best fit slopes upward.","0580/8.2"
"Mathematics","Statistics - Cumulative Frequency","Medium","In a cumulative frequency graph of 60 values Q1 is at 15th value and Q3 at 45th value. How do you find the IQR?","IQR = Q3 - Q1 (read from x-axis at cumulative frequencies 45 and 15)","The IQR measures spread of the middle 50% of data and is less affected by outliers than the full range.","0580/8.3"
"Mathematics","Statistics - Pie Charts","Medium","A pie chart sector has an angle of 120°. What fraction of the total does it represent?","1/3","Fraction = 120/360 = 1/3.","0580/8.2"
"Mathematics","Statistics - Histograms","Medium","A bar for class 10 ≤ x < 20 has frequency density 3.5. What is the frequency?","35","Frequency = frequency density x class width = 3.5 x 10 = 35.","0580/8.3"
"Mathematics","Statistics - Data Representation","Medium","State one advantage of a stem-and-leaf diagram over a bar chart.","Shows individual data values; median and quartiles can be read directly","A stem-and-leaf diagram preserves raw data; a bar chart only shows grouped frequencies.","0580/8.2"
"Mathematics","Statistics - Cumulative Frequency","Hard","40 students sit a test. Q1 = 35 and Q3 = 58. Find the IQR and explain its meaning.","IQR = 23; it measures the spread of the middle 50% of scores","IQR = 58 - 35 = 23. The middle half of students scored within a 23-mark range.","0580/8.3"
"Mathematics","Statistics - Box Plots","Hard","Box plot: min=10, Q1=22, median=35, Q3=48, max=62. Find IQR and % above Q3.","IQR = 26; 25% of data above Q3","IQR = 48 - 22 = 26. Q3 is 75th percentile so 25% of data is above it.","0580/8.3"
"Mathematics","Statistics - Averages","Hard","A data set has mean 12 with 10 values. An 11th value of 23 is added. Find the new mean.","13","Original sum = 120. New sum = 143. New mean = 143/11 = 13.","0580/8.1"
"Mathematics","Probability - Basic","Easy","A bag has 3 red and 5 blue balls. A ball is chosen at random. Find P(red).","3/8","P(red) = 3/(3+5) = 3/8.","0580/8.4"
"Mathematics","Probability - Complementary Events","Easy","P(winning) = 0.35. Find P(not winning).","0.65","P(not winning) = 1 - 0.35 = 0.65.","0580/8.4"
"Mathematics","Probability - Independent Events","Medium","P(A) = 0.4 and P(B) = 0.3. A and B are independent. Find P(A and B).","0.12","P(A and B) = P(A) x P(B) = 0.4 x 0.3 = 0.12.","0580/8.4"
"Mathematics","Probability - Mutually Exclusive","Medium","P(A) = 0.3 and P(B) = 0.45. A and B are mutually exclusive. Find P(A or B).","0.75","P(A or B) = P(A) + P(B) = 0.3 + 0.45 = 0.75.","0580/8.4"
"Mathematics","Probability - Without Replacement","Medium","Bag: 4 red and 6 blue balls. Two drawn without replacement. Find P(both red).","2/15","P(1st red) = 4/10. P(2nd red | 1st red) = 3/9. P(both) = 12/90 = 2/15.","0580/8.4"
"Mathematics","Probability - Tree Diagrams","Medium","A biased coin has P(heads) = 0.6. Flipped twice. Find P(same result both times).","0.52","P(HH) = 0.36; P(TT) = 0.16. P(same) = 0.52.","0580/8.4"
"Mathematics","Probability - Conditional","Hard","15 students play sport; 12 play music; 5 play both; 30 total. Find P(music | sport).","1/3","P(music | sport) = P(music and sport)/P(sport) = (5/30)/(15/30) = 5/15 = 1/3.","0580/8.4"
"Mathematics","Probability - Expected Value","Hard","A game costs $2. Roll a die: rolling 6 wins $9; otherwise you lose. Find expected profit per game.","−$0.50","E = (1/6)(7) + (5/6)(−2) = 7/6 − 10/6 = −3/6 = −$0.50.","0580/8.4"
"Biology","Cells - Structure","Easy","Name the organelle where photosynthesis occurs.","Chloroplast","Chloroplasts contain chlorophyll which absorbs light energy. Found only in plant cells.","0610/1.1"
"Biology","Cells - Structure","Easy","State the function of the cell membrane.","Controls what enters and leaves the cell (selective permeability)","The partially permeable cell membrane regulates the passage of substances into and out of the cell.","0610/1.1"
"Biology","Cells - Structure","Easy","Which organelle is the main site of aerobic respiration?","Mitochondria","Mitochondria produce ATP via aerobic respiration. Their folded inner membrane (cristae) increases surface area.","0610/1.1"
"Biology","Cells - Mitosis","Easy","What type of cells are produced by mitosis?","Two genetically identical diploid daughter cells","Mitosis produces two daughter cells with the same chromosome number as the parent cell for growth and repair.","0610/2.2"
"Biology","Cells - Structure","Medium","State three differences between a plant cell and an animal cell.","Plant cells have: cell wall; chloroplasts; large permanent vacuole. Animal cells lack all three.","A cellulose cell wall gives support; chloroplasts enable photosynthesis; the vacuole maintains turgor pressure.","0610/1.1"
"Biology","Cells - Transport","Medium","Define osmosis.","Movement of water molecules from a region of higher water potential to lower water potential through a partially permeable membrane","Osmosis is a special type of diffusion involving only water molecules across a selectively permeable membrane.","0610/1.3"
"Biology","Cells - Transport","Medium","Explain what happens to a plant cell placed in a concentrated salt solution.","Water leaves by osmosis; cell becomes flaccid and may plasmolyse as cell membrane pulls away from cell wall","The concentrated solution has lower water potential than the cell contents so water moves out by osmosis.","0610/1.3"
"Biology","Cells - Stem Cells","Medium","What are stem cells and why are they medically important?","Undifferentiated cells that can divide and develop into specialised cell types; used to treat conditions such as leukaemia and potentially replace damaged tissues","Embryonic stem cells are pluripotent; adult stem cells are multipotent. They offer potential cures for degenerative diseases.","0610/2.3"
"Biology","Cells - Transport","Medium","Compare diffusion and active transport.","Diffusion: passive; down concentration gradient; no ATP needed. Active transport: against concentration gradient; requires ATP and carrier proteins.","Diffusion is driven by random movement of particles. Active transport uses metabolic energy to move substances against their concentration gradient.","0610/1.3"
"Biology","Cells - Division","Hard","Compare mitosis and meiosis.","Mitosis: 2 identical diploid daughter cells; for growth and repair. Meiosis: 4 haploid genetically varied cells; for sexual reproduction.","Meiosis involves two divisions and introduces variation via crossing over and independent assortment. Mitosis produces genetically identical cells.","0610/2.2"
"Biology","Cells - Transport","Hard","Explain why a high surface area to volume ratio is important for cell function.","A larger SA:V ratio allows more efficient diffusion of substances relative to the cell volume; cells must remain small to maintain efficient exchange","As cells grow volume increases faster than surface area. Small cells have relatively more surface for exchange of oxygen, nutrients, and waste.","0610/1.2"
"Biology","Cells - Transport","Hard","Describe what happens to red blood cells placed in distilled water and explain why.","Red blood cells swell and may burst (lyse) because water enters by osmosis down the water potential gradient","Distilled water has higher water potential than the cell contents. Water moves in by osmosis; without a cell wall there is nothing to resist the pressure increase.","0610/1.3"
"Biology","Biological Molecules - Proteins","Easy","What are the monomers of proteins?","Amino acids","Proteins are polymers built from chains of amino acids linked by peptide bonds. There are 20 different amino acids.","0610/3.1"
"Biology","Biological Molecules - Testing","Easy","Describe the test for starch and state the positive result.","Add iodine solution; positive result: colour changes from brown/yellow to blue-black","Iodine molecules fit into the helical structure of starch molecules causing the characteristic colour change.","0610/3.1"
"Biology","Biological Molecules - DNA","Easy","What four nitrogenous bases are found in DNA?","Adenine (A), Thymine (T), Cytosine (C), Guanine (G)","Bases pair specifically: A with T and C with G. Complementary base pairing is essential for DNA replication and transcription.","0610/3.3"
"Biology","Biological Molecules - Enzymes","Medium","Explain enzyme specificity using the lock and key model.","The active site has a specific shape complementary to its substrate; only the correct substrate fits and forms an enzyme-substrate complex","Each enzyme is a protein with a unique 3D active site shape. The substrate fits like a key into a lock; this specificity determines which reactions an enzyme can catalyse.","0610/3.2"
"Biology","Biological Molecules - Enzymes","Medium","Describe how increasing temperature affects enzyme activity up to and beyond the optimum.","Rate increases up to the optimum (~37°C in humans); above optimum the enzyme denatures and rate falls sharply","High temperatures break hydrogen bonds in the enzyme protein; the active site shape changes so the substrate can no longer bind. Denaturation is irreversible.","0610/3.2"
"Biology","Biological Molecules - DNA","Medium","Describe the structure of a DNA molecule.","Double helix; two strands of nucleotides held together by complementary base pairs (A-T and C-G); sugar-phosphate backbone on the outside","Each nucleotide contains a deoxyribose sugar, a phosphate group, and a nitrogenous base. The two strands run antiparallel.","0610/3.3"
"Biology","Biological Molecules - Testing","Medium","Describe the Benedict's test for reducing sugars.","Add Benedict's reagent and heat in water bath; positive result: blue solution turns green, yellow, or brick-red precipitate","The intensity of colour change indicates the concentration of reducing sugar. Glucose is a reducing sugar; sucrose is not.","0610/3.1"
"Biology","Biological Molecules - Enzymes","Hard","Explain how changing pH affects enzyme activity.","pH alters ionic and hydrogen bonds that maintain enzyme shape; the active site changes conformation; substrate can no longer bind; each enzyme has an optimum pH","Extreme pH values denature the enzyme. Pepsin (stomach) has optimum pH 2; salivary amylase has optimum pH 7.","0610/3.2"
"Biology","Biological Molecules - ATP","Hard","Explain the role of ATP in living organisms.","ATP is the universal energy currency; produced during respiration; releases energy when hydrolysed to ADP + Pi; this energy drives metabolic processes such as active transport and protein synthesis","ATP can be rapidly recycled from ADP + Pi using energy released by respiration. It couples energy-releasing to energy-requiring reactions.","0610/3.1"
"Biology","Biological Molecules - Proteins","Hard","Explain why proteins can be so structurally diverse.","Different sequences of the 20 amino acids produce different polypeptide chains that fold into unique 3D shapes determined by the sequence","Primary structure (amino acid sequence) determines secondary and tertiary structure. Different shapes give proteins diverse functions as enzymes, antibodies, hormones, and structural components.","0610/3.1"
"Biology","Human Nutrition - Digestion","Easy","Name the enzyme that digests proteins in the stomach.","Pepsin","Pepsin is a protease secreted by the stomach lining. It functions optimally in the acidic conditions of the stomach (pH ~2).","0610/5.1"
"Biology","Human Nutrition - Digestion","Easy","Where is bile produced and where is it stored?","Produced in the liver; stored in the gall bladder","Bile is released into the duodenum via the bile duct to aid fat digestion.","0610/5.1"
"Biology","Human Nutrition - Absorption","Easy","State the function of villi in the small intestine.","Increase surface area for absorption of digested nutrients into the blood and lymph","The many finger-like villi dramatically increase the surface area of the intestinal wall for efficient absorption.","0610/5.2"
"Biology","Human Nutrition - Digestion","Medium","Describe the digestion of starch from mouth to small intestine.","Salivary amylase (mouth) breaks starch to maltose; pancreatic amylase (duodenum) continues; maltase (ileum epithelium) breaks maltose to glucose for absorption","Complete hydrolysis of starch requires both luminal enzymes and brush border enzymes. Glucose is then absorbed by active transport and facilitated diffusion.","0610/5.1"
"Biology","Human Nutrition - Diet","Medium","State the effects of a diet lacking in vitamin C.","Scurvy: bleeding gums; poor wound healing; swollen and painful joints; fatigue; damaged connective tissue","Vitamin C is needed for collagen synthesis. Without it collagen fibres are defective weakening blood vessels and connective tissues.","0610/4.1"
"Biology","Human Nutrition - Digestion","Medium","Explain the role of bile in fat digestion.","Bile emulsifies fats: it breaks large fat droplets into smaller ones increasing surface area for lipase to act on","Bile does not chemically digest fat; it is an emulsifier. Smaller droplets provide far more surface area for lipase to catalyse triglyceride hydrolysis.","0610/5.1"
"Biology","Human Nutrition - Absorption","Medium","Describe how amino acids are absorbed from the small intestine into the blood.","Active transport across the epithelial cells of villi into blood capillaries","Active transport requires ATP and carrier proteins to move amino acids against a concentration gradient from the gut lumen into the blood.","0610/5.2"
"Biology","Human Nutrition - Absorption","Hard","Describe five adaptations of villi for efficient absorption.","Finger-like projections (large SA); epithelium one cell thick (short diffusion path); dense capillary network; lacteals for fat absorption; microvilli (brush border) for even greater SA","These adaptations maximise absorption rate across the intestinal wall. Each villus contains a capillary network and a central lacteal lymph vessel.","0610/5.2"
"Biology","Human Nutrition - Diet","Hard","Distinguish between kwashiorkor and marasmus.","Kwashiorkor: protein deficiency despite adequate calories; oedema and swollen abdomen. Marasmus: severe calorie and protein deficiency; extreme wasting and skeletal appearance.","Both are malnutrition. Kwashiorkor often affects recently weaned children. Lack of plasma proteins in kwashiorkor causes fluid retention (oedema).","0610/4.1"
"Biology","Human Nutrition - Metabolism","Hard","Explain how the body deals with excess glucose after a meal.","Insulin secreted by pancreatic beta cells promotes glucose uptake by cells and conversion to glycogen (liver and muscle); persistent excess is converted to fat for long-term storage","Negative feedback: if blood glucose remains high sustained insulin secretion promotes glycogen synthesis and lipogenesis.","0610/5.3"
"Biology","Plant Nutrition - Photosynthesis","Easy","Write the word equation for photosynthesis.","Carbon dioxide + water → glucose + oxygen (requires light energy and chlorophyll)","Photosynthesis converts light energy into chemical energy stored in glucose. Carbon dioxide is a reactant not a product.","0610/6.1"
"Biology","Plant Nutrition - Photosynthesis","Easy","State the role of chlorophyll in photosynthesis.","Chlorophyll absorbs light energy (mainly red and blue wavelengths) and converts it to chemical energy for photosynthesis","Chlorophyll reflects green wavelengths (why plants look green). It captures photon energy to drive the light-dependent reactions.","0610/6.1"
"Biology","Plant Nutrition - Limiting Factors","Medium","Name three factors that can limit the rate of photosynthesis.","Light intensity; carbon dioxide concentration; temperature","When any factor is in short supply it becomes the limiting factor. Increasing the limiting factor increases the photosynthesis rate.","0610/6.2"
"Biology","Plant Nutrition - Leaf Structure","Medium","Describe three ways a leaf is adapted for photosynthesis.","Palisade mesophyll densely packed with chloroplasts; stomata for CO2 entry and O2 exit; thin flat shape for short diffusion distance and large light-absorbing area","The leaf maximises light absorption and gas exchange. Air spaces in spongy mesophyll allow gas diffusion to all cells.","0610/6.3"
"Biology","Plant Nutrition - Limiting Factors","Medium","Explain why the rate of photosynthesis levels off despite increasing light intensity.","Another factor such as CO2 concentration or temperature becomes the limiting factor; no further increase is possible until that factor increases","This demonstrates the law of limiting factors: the rate is controlled by whichever essential factor is in shortest supply.","0610/6.2"
"Biology","Plant Nutrition - Minerals","Medium","State the roles of nitrate ions and magnesium ions in plant nutrition.","Nitrates: needed to synthesise amino acids and proteins. Magnesium: component of chlorophyll molecules.","Nitrate deficiency causes stunted growth and yellowing. Magnesium deficiency causes chlorosis (loss of green colour) as chlorophyll cannot be made.","0610/6.4"
"Biology","Plant Nutrition - Photosynthesis","Hard","Describe how to investigate the effect of light intensity on photosynthesis rate using an aquatic plant.","Use Elodea or Cabomba; vary distance from light source; count oxygen bubbles per minute; control temperature with water bath; control CO2 with sodium bicarbonate solution","Rate is measured by oxygen production. Light intensity is proportional to 1/distance^2. All other variables must be controlled for a fair test.","0610/6.2"
"Biology","Plant Nutrition - Minerals","Hard","Explain the effects of nitrate deficiency on plant growth.","Stunted growth; yellowing (chlorosis) of older leaves; reduced yield; because nitrates are needed for amino acid and protein synthesis and for chlorophyll production","Without nitrate ions plants cannot make amino acids so protein synthesis is severely limited halting cell division and growth.","0610/6.4"
